method,noise_sd_hu,subsample_stride,dose_scale,curve_nrmse,param_mre,realisation,data_loss,physics_loss
amortized,25.0,1,1.0,0.03542503412976165,0.09313631830189004,4,,
closed_form,25.0,1,0.5,0.5076621089202066,0.08754029693119919,4,,
deconvolution,25.0,1,0.5,0.5252968491226497,nan,4,,
pinn_hybrid,25.0,1,0.5,0.512596360712058,0.08723192594049288,4,636.0469861270186,0.001954002205340065
amortized,25.0,1,0.5,0.47767644559091504,0.09032431602301852,4,,
closed_form,25.0,4,1.0,0.01940953298338868,0.0590348163376543,4,,
deconvolution,25.0,4,1.0,0.08298112673435111,nan,4,,
pinn_hybrid,25.0,4,1.0,0.03407579623402186,0.10325391095680103,4,275.537158981544,0.00041350562654764584
amortized,25.0,4,1.0,0.016996067385022844,0.031536576994017795,4,,
closed_form,25.0,4,0.5,0.5034035806937551,0.12534744575126222,4,,
deconvolution,25.0,4,0.5,0.49970977820163814,nan,4,,
pinn_hybrid,25.0,4,0.5,0.5065442727146915,0.14158453418890818,4,397.9336116847056,0.0027921391165418113
amortized,25.0,4,0.5,0.4905954064465527,0.12969210378659085,4,,
closed_form,0.0,1,1.0,5.3052803732164045e-15,9.545967791755963e-15,5,,
deconvolution,0.0,1,1.0,9.06394602738787e-08,nan,5,,
pinn_hybrid,0.0,1,1.0,0.0001256470931779752,0.00038060494631850044,5,0.001166137799860975,1.9722756946869932e-07
amortized,0.0,1,1.0,0.027559734239616617,0.03992558253350784,5,,
closed_form,0.0,1,0.5,0.4999999999999995,3.2931917170670868e-15,5,,
deconvolution,0.0,1,0.5,0.5000000029002643,nan,5,,
pinn_hybrid,0.0,1,0.5,0.49998094523044073,0.00019217130839004314,5,0.00013518265219262837,1.2934646401104559e-08
amortized,0.0,1,0.5,0.48732400762940353,0.03992558253350784,5,,
closed_form,0.0,4,1.0,2.1062715673816976e-15,4.132301354488831e-15,5,,
deconvolution,0.0,4,1.0,0.0034521284324518595,nan,5,,
pinn_hybrid,0.0,4,1.0,0.00010264341164442516,0.00027717108340091063,5,0.0008245206128737615,5.874769995227006e-07
amortized,0.0,4,1.0,0.021552738535589804,0.033773509496687046,5,,
closed_form,0.0,4,0.5,0.4999999999999981,3.7479390679535505e-15,5,,
deconvolution,0.0,4,0.5,0.5003731473669228,nan,5,,
pinn_hybrid,0.0,4,0.5,0.49998053792904074,0.00018795925845139242,5,0.00011784368293727385,8.773635319192371e-09
amortized,0.0,4,0.5,0.49015373571234816,0.033773509496687046,5,,
closed_form,10.0,1,1.0,0.004375178688342639,0.008591912731593756,5,,
deconvolution,10.0,1,1.0,0.044447078079503745,nan,5,,
pinn_hybrid,10.0,1,1.0,0.009162549217924715,0.005820512502747828,5,112.9677665531425,3.6534530246393234e-05
amortized,10.0,1,1.0,0.04034242591898459,0.0642232231781201,5,,
closed_form,10.0,1,0.5,0.49668581740013595,0.013691157655826666,5,,
deconvolution,10.0,1,0.5,0.4989929008771822,nan,5,,
pinn_hybrid,10.0,1,0.5,0.4974611503244057,0.033835573545553714,5,94.50596849904429,4.155704851491744e-06
amortized,10.0,1,0.5,0.48043171671491686,0.06420632480892542,5,,
closed_form,10.0,4,1.0,0.010054309673738656,0.02082991889265263,5,,
deconvolution,10.0,4,1.0,0.041542315279437005,nan,5,,
pinn_hybrid,10.0,4,1.0,0.016461900529402947,0.04003375269663464,5,75.48533552469038,4.094091794335521e-05
amortized,10.0,4,1.0,0.014970414929855163,0.06338179764258861,5,,
closed_form,10.0,4,0.5,0.5015722114528676,0.028503465708868504,5,,
deconvolution,10.0,4,0.5,0.5011016553389426,nan,5,,
pinn_hybrid,10.0,4,0.5,0.504840607638296,0.0652364450100912,5,55.16499021569863,3.710077892615789e-05
amortized,10.0,4,0.5,0.4816498401982202,0.07187413581432495,5,,
closed_form,25.0,1,1.0,0.0037053778334472016,0.014494809914312873,5,,
deconvolution,25.0,1,1.0,0.10716051354374763,nan,5,,
pinn_hybrid,25.0,1,1.0,0.004181660856220686,0.016205447888547754,5,651.7409343221133,1.541820295848146e-06
amortized,25.0,1,1.0,0.020646605258001955,0.035583257109834815,5,,
closed_form,25.0,1,0.5,0.5121599516296206,0.14871434731853428,5,,
deconvolution,25.0,1,0.5,0.5245149472820213,nan,5,,
pinn_hybrid,25.0,1,0.5,0.51575101058873,0.28596744187706946,5,603.3167245648892,0.00017939623392637368
