case_id,mode,use_aif,curve_nrmse,param_mre
ablation_000,physics_only,True,0.04338908513376412,0.0150893403532006
ablation_000,physics_only,False,0.039409287244267406,0.057865477210133874
ablation_000,neural_only,True,0.9498913956016267,nan
ablation_000,neural_only,False,0.9451116274843453,nan
ablation_000,hybrid,True,0.04173431716313612,0.022748400717126332
ablation_000,hybrid,False,0.03938630872327321,0.019146656453088724
ablation_001,physics_only,True,0.03940474670769348,0.056122030246875426
ablation_001,physics_only,False,0.03633077059571699,0.07164771273117324
ablation_001,neural_only,True,0.9470105347544066,nan
ablation_001,neural_only,False,0.9416266907789296,nan
ablation_001,hybrid,True,0.038826725374319505,0.08056027026403553
ablation_001,hybrid,False,0.036806454756162975,0.07439309798754304
ablation_002,physics_only,True,0.03568619292446393,0.03066059734596194
ablation_002,physics_only,False,0.04193454097746246,0.037631176665246166
ablation_002,neural_only,True,0.9489136300691218,nan
ablation_002,neural_only,False,0.9448374928098812,nan
ablation_002,hybrid,True,0.039178680707816695,0.04087440889654379
ablation_002,hybrid,False,0.046112916953683906,0.05822453505389351
ablation_003,physics_only,True,0.052682098953901496,0.03478207355871813
ablation_003,physics_only,False,0.05315774821846472,0.057889930128628225
ablation_003,neural_only,True,0.9422490189615037,nan
ablation_003,neural_only,False,0.9387174772905755,nan
ablation_003,hybrid,True,0.0598937304114152,0.05558833842297606
ablation_003,hybrid,False,0.04716627021929747,0.07340461146455997
ablation_004,physics_only,True,0.039310105160422,0.008866890819983953
ablation_004,physics_only,False,0.04679875243098676,0.029746215961029446
ablation_004,neural_only,True,0.9546733205441083,nan
ablation_004,neural_only,False,0.9480820568613736,nan
ablation_004,hybrid,True,0.04496043473209471,0.00652545505107709
ablation_004,hybrid,False,0.052073557886971364,0.0364607374277593
ablation_005,physics_only,True,0.03383719094812787,0.01951857048980086
ablation_005,physics_only,False,0.03965986975568091,0.023800615936673358
ablation_005,neural_only,True,0.9503391160333442,nan
ablation_005,neural_only,False,0.9459271419266094,nan
ablation_005,hybrid,True,0.03541367841909886,0.025188830301895348
ablation_005,hybrid,False,0.04507059392927029,0.029011420210252145
